User_ID,Runda,Zwrot_S&P500,Kierunek_S&P,Zwrot_Nasdaq,Kierunek_Nasdaq,Decyzja_Gracza,Lewar_Aktywny,Zmiana_Strategii,Zwrot_Gracza,Zysk_Strata_PLN,Czy_Zysk,Kapital_Po_Rundzie
4a90502e,1,0.005,1,0.0455,1,B,0,0,0.0455,454.55,1,10454.55
4a90502e,2,0.0199,1,-0.0261,-1,A,0,1,0.0199,208.05,1,10662.6
4a90502e,3,-0.0049,-1,0.0536,1,B,0,1,0.0536,571.21,1,11233.81
4a90502e,4,0.0172,1,0.0593,1,B,0,0,0.0593,666.41,1,11900.22
4a90502e,5,0.012,1,-0.024,-1,A,0,1,0.012,143.38,1,12043.6
4a90502e,6,0.0048,1,-0.0164,-1,B,0,1,-0.0164,-197.44,0,11846.16
4a90502e,7,0.019,1,0.05,1,A,0,1,0.019,224.57,1,12070.73
4a90502e,8,0.0116,1,0.0317,1,B,0,1,0.0317,383.2,1,12453.93
4a90502e,9,0.0115,1,-0.0154,-1,Cash,0,1,0.0,0.0,0,12453.93
4a90502e,10,-0.0045,-1,0.0312,1,B,0,1,0.0312,389.19,1,12843.11
4a90502e,11,-0.0068,-1,0.0227,1,A,0,1,-0.0068,-87.97,0,12755.15
4a90502e,12,-0.0069,-1,0.037,1,B,0,1,0.037,472.41,1,13227.56
4a90502e,13,0.0185,1,-0.0143,-1,B,0,0,-0.0143,-188.97,0,13038.6
4a90502e,14,0.0114,1,-0.0217,-1,A,0,1,0.0114,148.17,1,13186.76
4a90502e,15,0.0112,1,-0.0222,-1,B,0,1,-0.0222,-293.04,0,12893.72
4a90502e,16,0.0111,1,-0.0152,-1,Cash,0,1,0.0,0.0,0,12893.72
4a90502e,17,0.011,1,0.0308,1,B,0,1,0.0308,396.73,1,13290.45
4a90502e,18,-0.0043,-1,0.0299,1,A,0,1,-0.0043,-57.78,0,13232.67
4a90502e,19,0.0153,1,0.029,1,B,0,1,0.029,383.56,1,13616.22
4a90502e,20,0.0108,1,0.0211,1,A,0,1,0.0108,146.41,1,13762.63
4a90502e,21,0.0106,1,-0.0207,-1,B,0,1,-0.0207,-284.74,0,13477.89
4a90502e,22,0.0105,1,-0.0141,-1,Cash,0,1,0.0,0.0,0,13477.89
4a90502e,23,-0.0104,-1,0.0286,1,B,0,1,0.0286,385.08,1,13862.97
4a90502e,24,-0.0316,-1,0.0278,1,A,0,1,-0.0316,-437.78,0,13425.19
4a90502e,25,-0.0435,-1,0.027,1,B,0,1,0.027,362.84,1,13788.04
4a90502e,26,-0.0455,-1,0.0197,1,A,0,1,-0.0455,-626.73,0,13161.31
4a90502e,27,-0.0238,-1,0.0194,1,Cash,0,1,0.0,0.0,0,13161.31
4a90502e,28,-0.0122,-1,-0.019,-1,B,0,1,-0.019,-249.9,0,12911.41
4a90502e,29,0.0247,1,-0.0194,-1,A,0,1,0.0247,318.8,1,13230.21
4a90502e,30,0.012,1,-0.0132,-1,B,0,1,-0.0132,-174.08,0,13056.13
4a90502e,31,0.0119,1,-0.0133,-1,Cash,0,1,0.0,0.0,0,13056.13
4a90502e,32,0.0118,1,-0.0203,-1,B,0,1,-0.0203,-264.65,0,12791.48
4a90502e,33,0.0116,1,-0.0207,-1,A,0,1,0.0116,148.74,1,12940.22
4a90502e,34,-0.0069,-1,-0.0282,-1,B,0,1,-0.0282,-364.51,0,12575.7
4a90502e,35,0.0185,1,-0.058,-1,B,0,0,-0.058,-729.03,0,11846.68
4a90502e,36,0.0114,1,-0.0385,-1,A,0,1,0.0114,134.62,1,11981.3
4a90502e,37,-0.0067,-1,-0.024,-1,B,0,1,-0.024,-287.55,0,11693.75
4a90502e,38,0.0136,1,0.0164,1,Cash,0,1,0.0,0.0,0,11693.75
4a90502e,39,0.0045,1,-0.0081,-1,B,0,1,-0.0081,-94.3,0,11599.44
