User_ID,Runda,Zwrot_S&P500,Kierunek_S&P,Zwrot_Nasdaq,Kierunek_Nasdaq,Decyzja_Gracza,Lewar_Aktywny,Zmiana_Strategii,Zwrot_Gracza,Zysk_Strata_PLN,Czy_Zysk,Kapital_Po_Rundzie
4eb1103a,1,0.005,1,0.0455,1,B,0,0,0.0455,454.55,1,10454.55
4eb1103a,2,0.0199,1,-0.0261,-1,B,0,0,-0.0261,-272.73,0,10181.82
4eb1103a,3,-0.0049,-1,0.0536,1,Cash,0,1,0.0,0.0,0,10181.82
4eb1103a,4,0.0172,1,0.0593,1,B,0,1,0.0593,604.01,1,10785.82
4eb1103a,5,0.012,1,-0.024,-1,B,0,0,-0.024,-258.86,0,10526.96
4eb1103a,6,0.0048,1,-0.0164,-1,A,0,1,0.0048,50.13,1,10577.09
4eb1103a,7,0.019,1,0.05,1,A,0,0,0.019,200.51,1,10777.61
4eb1103a,8,0.0116,1,0.0317,1,B,0,1,0.0317,342.15,1,11119.75
4eb1103a,9,0.0115,1,-0.0154,-1,B,0,0,-0.0154,-171.07,0,10948.68
4eb1103a,10,-0.0045,-1,0.0312,1,A,0,1,-0.0045,-49.77,0,10898.91
4eb1103a,11,-0.0068,-1,0.0227,1,A,0,0,-0.0068,-74.65,0,10824.26
4eb1103a,12,-0.0069,-1,0.037,1,B,0,1,0.037,400.9,1,11225.16
4eb1103a,13,0.0185,1,-0.0143,-1,A,0,1,0.0185,207.87,1,11433.03
4eb1103a,14,0.0114,1,-0.0217,-1,A,0,0,0.0114,129.92,1,11562.96
4eb1103a,15,0.0112,1,-0.0222,-1,B,0,1,-0.0222,-256.95,0,11306.0
4eb1103a,16,0.0111,1,-0.0152,-1,B,0,0,-0.0152,-171.3,0,11134.7
4eb1103a,17,0.011,1,0.0308,1,A,0,1,0.011,122.36,1,11257.06
4eb1103a,18,-0.0043,-1,0.0299,1,A,0,0,-0.0043,-48.94,0,11208.11
4eb1103a,19,0.0153,1,0.029,1,B,0,1,0.029,324.87,1,11532.99
4eb1103a,20,0.0108,1,0.0211,1,B,0,0,0.0211,243.65,1,11776.64
4eb1103a,21,0.0106,1,-0.0207,-1,A,0,1,0.0106,125.28,1,11901.92
4eb1103a,22,0.0105,1,-0.0141,-1,A,0,0,0.0105,125.28,1,12027.21
4eb1103a,23,-0.0104,-1,0.0286,1,A,1,0,-0.0208,-250.57,0,11776.64
4eb1103a,24,-0.0316,-1,0.0278,1,A,1,0,-0.0632,-743.79,0,11032.85
4eb1103a,25,-0.0435,-1,0.027,1,B,1,1,0.0541,596.37,1,11629.22
4eb1103a,26,-0.0455,-1,0.0197,1,B,1,0,0.0395,459.05,1,12088.27
4eb1103a,27,-0.0238,-1,0.0194,1,A,1,1,-0.0476,-575.63,0,11512.64
4eb1103a,28,-0.0122,-1,-0.019,-1,B,1,1,-0.038,-437.19,0,11075.45
4eb1103a,29,0.0247,1,-0.0194,-1,B,1,0,-0.0387,-428.73,0,10646.72
4eb1103a,30,0.012,1,-0.0132,-1,Cash,1,1,0.0,0.0,0,10646.72
4eb1103a,31,0.0119,1,-0.0133,-1,B,1,1,-0.0267,-283.91,0,10362.81
4eb1103a,32,0.0118,1,-0.0203,-1,A,1,1,0.0235,243.83,1,10606.64
4eb1103a,33,0.0116,1,-0.0207,-1,B,1,1,-0.0414,-438.9,0,10167.75
4eb1103a,34,-0.0069,-1,-0.0282,-1,B,1,0,-0.0563,-572.83,0,9594.92
4eb1103a,35,0.0185,1,-0.058,-1,A,1,1,0.037,355.37,1,9950.28
4eb1103a,36,0.0114,1,-0.0385,-1,A,1,0,0.0227,226.14,1,10176.43
4eb1103a,37,-0.0067,-1,-0.024,-1,A,1,0,-0.0135,-137.21,0,10039.22
4eb1103a,38,0.0136,1,0.0164,1,B,1,1,0.0328,329.15,1,10368.37
4eb1103a,39,0.0045,1,-0.0081,-1,B,1,0,-0.0161,-167.23,0,10201.14
