User_ID,Runda,Zwrot_S&P500,Kierunek_S&P,Zwrot_Nasdaq,Kierunek_Nasdaq,Decyzja_Gracza,Lewar_Aktywny,Zmiana_Strategii,Zwrot_Gracza,Zysk_Strata_PLN,Czy_Zysk,Kapital_Po_Rundzie
94fe5091,1,0.005,1,0.0455,1,A,0,0,0.005,50.0,1,10050.0
94fe5091,2,0.0199,1,-0.0261,-1,B,0,1,-0.0261,-262.17,0,9787.83
94fe5091,3,-0.0049,-1,0.0536,1,B,0,0,0.0536,524.35,1,10312.17
94fe5091,4,0.0172,1,0.0593,1,B,0,0,0.0593,611.74,1,10923.91
94fe5091,5,0.012,1,-0.024,-1,Cash,0,1,0.0,0.0,0,10923.91
94fe5091,6,0.0048,1,-0.0164,-1,B,0,1,-0.0164,-179.08,0,10744.83
94fe5091,7,0.019,1,0.05,1,A,0,1,0.019,203.69,1,10948.53
94fe5091,8,0.0116,1,0.0317,1,B,0,1,0.0317,347.57,1,11296.1
94fe5091,9,0.0115,1,-0.0154,-1,Cash,0,1,0.0,0.0,0,11296.1
94fe5091,10,-0.0045,-1,0.0312,1,B,0,1,0.0312,353.0,1,11649.1
94fe5091,11,-0.0068,-1,0.0227,1,B,0,0,0.0227,264.75,1,11913.85
94fe5091,12,-0.0069,-1,0.037,1,Cash,0,1,0.0,0.0,0,11913.85
94fe5091,13,0.0185,1,-0.0143,-1,B,0,1,-0.0143,-170.2,0,11743.66
94fe5091,14,0.0114,1,-0.0217,-1,A,0,1,0.0114,133.45,1,11877.11
94fe5091,15,0.0112,1,-0.0222,-1,B,0,1,-0.0222,-263.94,0,11613.17
94fe5091,16,0.0111,1,-0.0152,-1,B,0,0,-0.0152,-175.96,0,11437.21
94fe5091,17,0.011,1,0.0308,1,A,0,1,0.011,125.68,1,11562.9
94fe5091,18,-0.0043,-1,0.0299,1,A,1,0,-0.0087,-100.55,0,11462.35
94fe5091,19,0.0153,1,0.029,1,B,1,1,0.058,664.48,1,12126.83
94fe5091,20,0.0108,1,0.0211,1,Cash,1,1,0.0,0.0,0,12126.83
94fe5091,21,0.0106,1,-0.0207,-1,B,1,1,-0.0414,-501.8,0,11625.03
94fe5091,22,0.0105,1,-0.0141,-1,A,1,1,0.0211,244.74,1,11869.77
94fe5091,23,-0.0104,-1,0.0286,1,B,1,1,0.0571,678.27,1,12548.04
94fe5091,24,-0.0316,-1,0.0278,1,A,1,1,-0.0632,-792.51,0,11755.54
94fe5091,25,-0.0435,-1,0.027,1,B,1,1,0.0541,635.43,1,12390.97
94fe5091,26,-0.0455,-1,0.0197,1,Cash,1,1,0.0,0.0,0,12390.97
94fe5091,27,-0.0238,-1,0.0194,1,B,1,1,0.0387,479.65,1,12870.62
94fe5091,28,-0.0122,-1,-0.019,-1,A,1,1,-0.0244,-313.92,0,12556.7
94fe5091,29,0.0247,1,-0.0194,-1,B,1,1,-0.0387,-486.07,0,12070.64
