User_ID,Runda,Zwrot_S&P500,Kierunek_S&P,Zwrot_Nasdaq,Kierunek_Nasdaq,Decyzja_Gracza,Lewar_Aktywny,Zmiana_Strategii,Zwrot_Gracza,Zysk_Strata_PLN,Czy_Zysk,Kapital_Po_Rundzie
490f7c2e,1,0.005,1,0.0455,1,A,0,0,0.005,50.0,1,10050.0
490f7c2e,2,0.0199,1,-0.0261,-1,B,0,1,-0.0261,-262.17,0,9787.83
490f7c2e,3,-0.0049,-1,0.0536,1,Cash,0,1,0.0,0.0,0,9787.83
490f7c2e,4,0.0172,1,0.0593,1,B,0,1,0.0593,580.63,1,10368.46
490f7c2e,5,0.012,1,-0.024,-1,A,0,1,0.012,124.92,1,10493.38
490f7c2e,6,0.0048,1,-0.0164,-1,B,0,1,-0.0164,-172.02,0,10321.36
490f7c2e,7,0.019,1,0.05,1,A,0,1,0.019,195.67,1,10517.02
490f7c2e,8,0.0116,1,0.0317,1,B,0,1,0.0317,333.87,1,10850.9
490f7c2e,9,0.0115,1,-0.0154,-1,A,0,1,0.0115,124.72,1,10975.62
490f7c2e,10,-0.0045,-1,0.0312,1,A,0,0,-0.0045,-49.89,0,10925.73
490f7c2e,11,-0.0068,-1,0.0227,1,B,0,1,0.0227,248.31,1,11174.04
490f7c2e,12,-0.0069,-1,0.037,1,B,0,0,0.037,413.85,1,11587.9
490f7c2e,13,0.0185,1,-0.0143,-1,B,0,0,-0.0143,-165.54,0,11422.36
490f7c2e,14,0.0114,1,-0.0217,-1,B,0,0,-0.0217,-248.31,0,11174.04
490f7c2e,15,0.0112,1,-0.0222,-1,A,0,1,0.0112,125.55,1,11299.59
490f7c2e,16,0.0111,1,-0.0152,-1,A,0,0,0.0111,125.55,1,11425.15
490f7c2e,17,0.011,1,0.0308,1,A,0,0,0.011,125.55,1,11550.7
490f7c2e,18,-0.0043,-1,0.0299,1,B,0,1,0.0299,344.8,1,11895.49
490f7c2e,19,0.0153,1,0.029,1,A,0,1,0.0153,181.81,1,12077.3
490f7c2e,20,0.0108,1,0.0211,1,B,0,1,0.0211,255.15,1,12332.46
490f7c2e,21,0.0106,1,-0.0207,-1,A,1,1,0.0213,262.39,1,12594.85
490f7c2e,22,0.0105,1,-0.0141,-1,B,1,1,-0.0282,-354.78,0,12240.07
490f7c2e,23,-0.0104,-1,0.0286,1,A,1,1,-0.0208,-255.0,0,11985.06
490f7c2e,24,-0.0316,-1,0.0278,1,B,1,1,0.0556,665.84,1,12650.9
490f7c2e,25,-0.0435,-1,0.027,1,B,1,0,0.0541,683.83,1,13334.73
490f7c2e,26,-0.0455,-1,0.0197,1,B,1,0,0.0395,526.37,1,13861.1
490f7c2e,27,-0.0238,-1,0.0194,1,B,1,0,0.0387,536.56,1,14397.66
490f7c2e,28,-0.0122,-1,-0.019,-1,B,1,0,-0.038,-546.75,0,13850.92
490f7c2e,29,0.0247,1,-0.0194,-1,A,1,1,0.0494,684.0,1,14534.91
490f7c2e,30,0.012,1,-0.0132,-1,A,1,0,0.0241,350.24,1,14885.15
490f7c2e,31,0.0119,1,-0.0133,-1,A,1,0,0.0238,354.41,1,15239.56
490f7c2e,32,0.0118,1,-0.0203,-1,A,1,0,0.0235,358.58,1,15598.14
490f7c2e,33,0.0116,1,-0.0207,-1,A,1,0,0.0233,362.75,1,15960.88
490f7c2e,34,-0.0069,-1,-0.0282,-1,A,1,0,-0.0138,-220.15,0,15740.73
490f7c2e,35,0.0185,1,-0.058,-1,B,1,1,-0.1159,-1825.01,0,13915.72
490f7c2e,36,0.0114,1,-0.0385,-1,A,1,1,0.0227,316.27,1,14231.99
490f7c2e,37,-0.0067,-1,-0.024,-1,A,1,0,-0.0135,-191.89,0,14040.1
490f7c2e,38,0.0136,1,0.0164,1,A,1,0,0.0271,381.18,1,14421.28
490f7c2e,39,0.0045,1,-0.0081,-1,A,1,0,0.0089,128.76,1,14550.04
