User_ID,Runda,Kapital_Przed,Wybor_Strony,Stawka,Bet_Ratio_%,Odchylenie_Kelly,Martingale_Flag,Zmiana_Strony,Wynik_Rzutu,Czy_Wygrana,Kapital_Po_Rundzie
6ad566d2,1,100.0,HEADS,10.0,0.1,-0.1,0,0,TAILS,0,90.0
6ad566d2,2,90.0,HEADS,44.1,0.49,0.29,1,0,HEADS,1,134.1
6ad566d2,3,134.1,HEADS,93.87,0.7,0.5,0,0,HEADS,1,227.97
6ad566d2,4,227.97,HEADS,104.87,0.46,0.26,0,0,TAILS,0,123.1
6ad566d2,5,123.1,HEADS,56.63,0.46,0.26,0,0,TAILS,0,66.47
6ad566d2,6,66.47,HEADS,30.58,0.4601,0.2601,0,0,HEADS,1,97.05
6ad566d2,7,97.05,TAILS,44.64,0.46,0.26,0,1,TAILS,1,141.69
6ad566d2,8,141.69,TAILS,138.86,0.98,0.78,0,0,HEADS,0,2.83
6ad566d2,9,2.83,TAILS,2.83,1.0,0.8,0,0,HEADS,0,-0.0
